course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
Common Sense Digital Citizenship,Common Sense Digital Citizenship,https://www.commonsense.org/education/digital-citizenship/curriculum,Curriculum,free,free for core educator resources.,English; Spanish,No,1. Digital literacy & computer basics,,Newbie; Apprentice,10–20 h,None stated,"Teaches Common Sense Digital Citizenship through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Established nonprofit curriculum,active/reachable; fetched September 2026
CS50 Understanding Technology,CS50 Understanding Technology,https://cs50.harvard.edu/technology/,Course,free,No fee for learning materials.,English; subtitles/transcripts,No,1. Digital literacy & computer basics,,Newbie,6 weeks,None stated,"Teaches CS50 Understanding Technology through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Harvard CS50 non-programmer technology course,active/reachable; fetched September 2026
OpenStax Introduction to Computer Science,OpenStax Introduction to Computer Science,https://openstax.org/books/introduction-computer-science/pages/1-introduction,Open textbook,free,No fee for learning materials.,English; translate,No,1. Digital literacy & computer basics,,Newbie; Apprentice,40–60 h,None stated,"Explains OpenStax Introduction to Computer Science as a structured learning reference for computer operation, internet use, digital safety and everyday digital tasks, with examples suitable for self-study.",Rice/OpenStax peer-reviewed text launched 2024,active/reachable; fetched September 2026
Khan Academy Computing,Khan Academy Computing,https://www.khanacademy.org/computing,Course library,free,No fee for learning materials.,English; some Hindi/localisation,Yes,1. Digital literacy & computer basics,,Newbie; Apprentice,20–60 h,None stated,"Organizes lessons and learning resources for computer operation, internet use, digital safety and everyday digital tasks; use the linked course or playlist sequence rather than treating the hub as one lesson.",Large nonprofit learning platform,active/reachable; fetched September 2026
Google Safety Center,Google Safety Center,https://safety.google/intl/en_in/,Reference,free,No fee for learning materials.,English/Hindi localisation varies,Yes,1. Digital literacy & computer basics,,Newbie; Apprentice,2–4 h,None stated,"Explains Google Safety Center as a structured learning reference for computer operation, internet use, digital safety and everyday digital tasks, with examples suitable for self-study.",Current consumer-security guidance,active/reachable; fetched September 2026
Infosys Springboard,Infosys Springboard,https://infyspringboard.onwingspan.com/,Course platform,free-with-account,free registration; catalogue/login availability varies.,English; some Indian-language content,No,1. Digital literacy & computer basics,,Newbie; Adept,20–200 h,None stated,"Organizes lessons and learning resources for computer operation, internet use, digital safety and everyday digital tasks; use the linked course or playlist sequence rather than treating the hub as one lesson.",Infosys-backed India learning platform,active/reachable; fetched September 2026
IBM SkillsBuild,IBM SkillsBuild,https://skillsbuild.org/,Course platform,eligibility-based,free learning; programme eligibility varies.,English; localisations,No,1. Digital literacy & computer basics,,Newbie; Adept,20–150 h,None stated,"Organizes lessons and learning resources for computer operation, internet use, digital safety and everyday digital tasks; use the linked course or playlist sequence rather than treating the hub as one lesson.",IBM-backed digital/workplace/AI courses,active/reachable; fetched September 2026
TCS iON Free Learning,TCS iON Free Learning,https://www.tcsion.com/hub/career-creator/free-learning-courses/,Course portal,free-with-account,free courses; catalogue/account terms vary.,English,No,1. Digital literacy & computer basics,,Newbie; Apprentice,10–80 h,None stated,"Organizes lessons and learning resources for computer operation, internet use, digital safety and everyday digital tasks; use the linked course or playlist sequence rather than treating the hub as one lesson.",TCS-backed Indian employability catalogue,active/reachable; fetched September 2026
TypingClub,TypingClub,https://www.typingclub.com/,Interactive practice,freemium,freemium: individual core free.,English; interface options,No,"2. Typing, productivity & office tools",,Newbie,20–40 h,None stated,"Provides guided exercises or challenges centered on TypingClub, building practical competence in typing, documents, spreadsheets, presentations and workplace productivity.",Measured speed/accuracy; active 2026,active/reachable; fetched September 2026
Typing.com,Typing.com,https://www.typing.com/,Interactive practice,freemium,freemium: core lessons free.,English; Spanish,No,"2. Typing, productivity & office tools",,Newbie,20–40 h,None stated,"Provides guided exercises or challenges centered on Typing.com, building practical competence in typing, documents, spreadsheets, presentations and workplace productivity.","Lessons, tests and progress tracking",active/reachable; fetched September 2026
Ratatype,Ratatype,https://www.ratatype.com/,Typing practice,freemium,"A useful subset is free; additional lessons, labs or features may require payment.",English; multiple languages,No,"2. Typing, productivity & office tools",,Newbie,15–30 h,None stated,"Provides guided exercises or challenges centered on Ratatype, building practical competence in typing, documents, spreadsheets, presentations and workplace productivity.",Low-friction typing tests and lessons,active/reachable; fetched September 2026
LibreOffice Getting Started Guide,LibreOffice Getting Started Guide,https://documentation.libreoffice.org/en/english-documentation/getting-started-guide/,Documentation/book,free,No fee for learning materials.,English; translated guides,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,15–25 h,None stated,"Explains LibreOffice Getting Started Guide as a structured learning reference for typing, documents, spreadsheets, presentations and workplace productivity, with examples suitable for self-study.",Document Foundation; 26.2 guide updated 2026,active/reachable; fetched September 2026
Google Workspace Learning Center,Google Workspace Learning Center,https://support.google.com/a/users/,Tutorials,free,No fee for learning materials.,English/Hindi localisation varies,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,10–25 h,None stated,"Teaches Google Workspace Learning Center through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official Docs/Sheets/Slides guidance,active/reachable; fetched September 2026
Microsoft 365 Training,Microsoft 365 Training,https://support.microsoft.com/en-us/training,Tutorials,free,No fee for learning materials.,English; localisation,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,10–30 h,None stated,"Teaches Microsoft 365 Training through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official Word/Excel/PowerPoint training,active/reachable; fetched September 2026
Google Applied Digital Skills,Google Applied Digital Skills,https://applieddigitalskills.withgoogle.com/,Project course,free,No fee for learning materials.,English; captions/translate,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,10–20 h,None stated,"Teaches Google Applied Digital Skills through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Real workplace projects,active/reachable; fetched September 2026
GCFGlobal Microsoft Office,GCFGlobal Microsoft Office,https://edu.gcfglobal.org/en/topics/office/,Course library,free,No fee for learning materials.,English; translation-friendly,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,30–60 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",Long-running nonprofit tutorials,active/reachable; fetched September 2026
GCFGlobal Google Apps,GCFGlobal Google Apps,https://edu.gcfglobal.org/en/googledocuments,Course library,free,No fee for learning materials.,English; translate,No,"2. Typing, productivity & office tools",,Newbie,15–25 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",Beginner-friendly Google tools,active/reachable; fetched September 2026
Excel Easy,Excel Easy,https://www.excel-easy.com/,Tutorial,free,No fee for learning materials.,English; translate,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,20–30 h,None stated,"Teaches Excel Easy through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Structured formulas/charts examples,active/reachable; fetched September 2026
Chandoo Excel Tutorials,Chandoo Excel Tutorials,https://chandoo.org/wp/excel-tutorial/,Tutorial library,freemium,freemium: substantial free library.,English,No,"2. Typing, productivity & office tools",,Apprentice; Adept,30–60 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",Well-established advanced Excel instruction,active/reachable; fetched September 2026
Leila Gharani YouTube,Leila Gharani YouTube,https://www.youtube.com/@LeilaGharani,Video channel,free,No fee for learning materials.,English; captions,No,"2. Typing, productivity & office tools",,Apprentice; Adept,20–60 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",High-quality Excel/productivity demonstrations,active/reachable; fetched September 2026
PDF24 Tools,PDF24 Tools,https://tools.pdf24.org/en/,Utility/tutorial,free,No fee for learning materials.,English; multiple languages,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,2–4 h,None stated,"Teaches PDF24 Tools through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Useful PDF workflow; avoid sensitive uploads,active/reachable; fetched September 2026
Canva Design School,Canva Design School,https://www.canva.com/designschool/,Course library,freemium,freemium: learning free; assets vary.,English; localisation,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,5–15 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",Presentation and visual-communication basics,active/reachable; fetched September 2026
Google Sheets function list,Google Sheets function list,https://support.google.com/docs/table/25273,Reference,free,No fee for learning materials.,English; localisation,No,"2. Typing, productivity & office tools",,Apprentice; Adept,ongoing,None stated,"Explains Google Sheets function list as a structured learning reference for typing, documents, spreadsheets, presentations and workplace productivity, with examples suitable for self-study.",Authoritative searchable formula reference,active/reachable; fetched September 2026
Spoken Tutorial LibreOffice,Spoken Tutorial LibreOffice,https://spoken-tutorial.org/tutorial-search/?search_foss=LibreOffice+Suite&search_language=Hindi,Video tutorials,free,No fee for learning materials.,Hindi,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,10–30 h,None stated,"Teaches Spoken Tutorial LibreOffice through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",IIT Bombay Indian-language office suite tutorials,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Microsoft Learn Excel,Microsoft Learn Excel,https://support.microsoft.com/en-us/excel,Learning hub,free,No fee for learning materials.,English; localisation,No,"2. Typing, productivity & office tools",,Newbie; Adept,20–80 h,None stated,"Organizes lessons and learning resources for typing, documents, spreadsheets, presentations and workplace productivity; use the linked course or playlist sequence rather than treating the hub as one lesson.",Official Excel help and training,active/reachable; fetched September 2026
Google Sheets Training,Google Sheets Training,https://support.google.com/a/users/answer/9282959,Tutorials,free,No fee for learning materials.,English; localisation,No,"2. Typing, productivity & office tools",,Newbie; Apprentice,10–20 h,None stated,"Teaches Google Sheets Training through structured lessons or projects covering typing, documents, spreadsheets, presentations and workplace productivity.",Official Google Workspace learning center,active/reachable; fetched September 2026
CS50x 2026,CS50x 2026,https://cs50.harvard.edu/x/,Course,free,free; optional paid edX verification.,English; subtitles/transcripts,No,3. Computational thinking & programming fundamentals,,Apprentice; Adept,100–200 h,None stated,"Teaches CS50x 2026 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Harvard; rigorous problem sets and free CS50 certificate,active/reachable; fetched September 2026
CS50P,CS50P,https://cs50.harvard.edu/python/,Course,free,free; optional paid verification.,English; subtitles,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,60–120 h,None stated,"Teaches CS50P through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Harvard Python-first course,active/reachable; fetched September 2026
Python for Everybody,Python for Everybody,https://www.py4e.com/,Course/book,free,free; certificates elsewhere may cost.,English; subtitles/translate,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,80–120 h,None stated,"Explains Python for Everybody as a structured learning reference for programming syntax, problem solving and computational thinking, with examples suitable for self-study.",University of Michigan open materials,active/reachable; fetched September 2026
Think Python 3e,Think Python 3e,https://allendowney.github.io/ThinkPython/,Open book,free,No fee for learning materials.,English; translate,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,40–80 h,None stated,"Explains Think Python 3e as a structured learning reference for programming syntax, problem solving and computational thinking, with examples suitable for self-study.",Green Tea Press; modern Python edition,active/reachable; fetched September 2026
Automate the Boring Stuff,Automate the Boring Stuff,https://automatetheboringstuff.com/,Free online book,free,free online; print/paid course optional.,English; translate,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,40–80 h,None stated,"Explains Automate the Boring Stuff as a structured learning reference for programming syntax, problem solving and computational thinking, with examples suitable for self-study.",Practical automation; third edition active,active/reachable; fetched September 2026
learnpython.org,learnpython.org,https://www.learnpython.org/,Interactive tutorial,free,No fee for learning materials.,English; multiple translations,No,3. Computational thinking & programming fundamentals,,Newbie,10–20 h,None stated,"Teaches learnpython.org through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Zero-install practice,active/reachable; fetched September 2026
Programiz Python,Programiz Python,https://www.programiz.com/python-programming,Tutorial/practice,freemium,freemium: core tutorial free.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,20–40 h,None stated,"Provides guided exercises or challenges centered on Programiz Python, building practical competence in programming syntax, problem solving and computational thinking.",Clear examples and browser compiler,active/reachable; fetched September 2026
Codédex Courses,Codédex Courses,https://www.codedex.io/courses,Interactive course,freemium,freemium: introductory access free; pro paths vary.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,15–50 h,None stated,"Teaches Codédex Courses through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Gamified project-based pacing; active 2026,active/reachable; fetched September 2026
freeCodeCamp Scientific Computing with Python,freeCodeCamp Scientific Computing with Python,https://www.freecodecamp.org/learn/scientific-computing-with-python,Course/projects,free,No fee for learning materials.,English; Hindi videos available,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,100–300 h,None stated,"Teaches freeCodeCamp Scientific Computing with Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Nonprofit curriculum with projects,active/reachable; fetched September 2026
JavaScript.info,JavaScript.info,https://javascript.info/,Open tutorial,free,free/open source.,English; translations,No,3. Computational thinking & programming fundamentals,,Apprentice; Adept,80–150 h,None stated,"Teaches JavaScript.info through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Comprehensive modern JS,active/reachable; fetched September 2026
Eloquent JavaScript 4e,Eloquent JavaScript 4e,https://eloquentjavascript.net/,Free book,free,No fee for learning materials.,English; translate,No,3. Computational thinking & programming fundamentals,,Apprentice; Adept,60–100 h,None stated,"Explains Eloquent JavaScript 4e as a structured learning reference for programming syntax, problem solving and computational thinking, with examples suitable for self-study.",Exercises and substantial projects,active/reachable; fetched September 2026
You Dont Know JS Yet,You Dont Know JS Yet,https://github.com/getify/You-Dont-Know-JS,Open books,free,free/open source.,English,No,3. Computational thinking & programming fundamentals,,Adept; Master,100–180 h,None stated,"Explains You Dont Know JS Yet as a structured learning reference for programming syntax, problem solving and computational thinking, with examples suitable for self-study.",Deep language semantics; maintained repository,active/reachable; fetched September 2026
Python Tutor,Python Tutor,https://pythontutor.com/,Visualiser,free,No fee for learning materials.,English; visual/translation-friendly,No,3. Computational thinking & programming fundamentals,,Newbie; Adept,ongoing,None stated,"Teaches Python Tutor through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Execution visualisation used in education,active/reachable; fetched September 2026
CodeWithHarry,CodeWithHarry,https://www.codewithharry.com/,Video/course site,freemium,freemium: extensive free content.,Hindi/Hinglish,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,40–150 h,None stated,"Teaches CodeWithHarry through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Major Indian bilingual coding channel/site,active/reachable; fetched September 2026
MIT 6.0001 Introduction to CS and Python,MIT 6.0001 Introduction to CS and Python,https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,OCW course,free,No fee for learning materials.,English; transcripts,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,100–150 h,None stated,"Teaches MIT 6.0001 Introduction to CS and Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",MIT OCW course number explicitly included,active/reachable; fetched September 2026
Codecademy Python,Codecademy Python,https://www.codecademy.com/learn/learn-python-3,Interactive course,freemium,freemium: selected lessons free; projects/certificates may require Pro.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,20–40 h,None stated,"Teaches Codecademy Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Popular interactive platform; free boundary flagged,active/reachable; fetched September 2026
SoloLearn Python,SoloLearn Python,https://www.sololearn.com/en/learn/courses/python-introduction,Interactive course,freemium,freemium: core access varies; premium features/ads.,English; mobile-friendly,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,15–30 h,None stated,"Teaches SoloLearn Python through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Mobile-first practice; verify current free units,active/reachable; fetched September 2026
Harvard CS50 Scratch,Harvard CS50 Scratch,https://cs50.harvard.edu/scratch/,Course,free,No fee for learning materials.,English; subtitles,No,3. Computational thinking & programming fundamentals,,Newbie,15–30 h,None stated,"Teaches Harvard CS50 Scratch through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Harvard visual-programming bridge,active/reachable; fetched September 2026
MDN Learn Web Development,MDN Learn Web Development,https://developer.mozilla.org/en-US/docs/Learn_web_development,Curriculum/reference,free,No fee for learning materials.,English; localisations/translate,No,4. Web development,,Newbie; Adept,200–400 h,None stated,"Explains MDN Learn Web Development as a structured learning reference for HTML, CSS, JavaScript and practical web application development, with examples suitable for self-study.",Mozilla standards-based and actively maintained,active/reachable; fetched September 2026
freeCodeCamp Responsive Web Design,freeCodeCamp Responsive Web Design,https://www.freecodecamp.org/learn/responsive-web-design-v9,Course/projects,free,No fee for learning materials.,English; Hindi channel,Yes,4. Web development,,Newbie; Apprentice,100–300 h,None stated,"Teaches freeCodeCamp Responsive Web Design through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Project certification pathway,fetch restricted (robots/JS/IP); official URL retained; manual check advised
The Odin Project,The Odin Project,https://www.theodinproject.com/paths,Project curriculum,free,free/open source.,English,No,4. Web development,,Apprentice; Adept,600–1000 h,None stated,"Teaches The Odin Project through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Long-standing portfolio-focused full-stack path,active/reachable; fetched September 2026
Full Stack Open,Full Stack Open,https://fullstackopen.com/en/,University course,free,No fee for learning materials.,English; selected translations,No,4. Web development,,Adept,250–450 h,None stated,"Teaches Full Stack Open through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",University of Helsinki; React/Node/testing/CI/containers,active/reachable; fetched September 2026
CS50W,CS50W,https://cs50.harvard.edu/web/,Course,free,free; optional paid verification.,English; subtitles,No,4. Web development,,Apprentice; Adept,100–200 h,None stated,"Teaches CS50W through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Harvard Python/JS web programming,active/reachable; fetched September 2026
javascript.info Browser section,javascript.info Browser section,https://javascript.info/ui,Tutorial,free,free/open source.,English; translations,No,4. Web development,,Apprentice; Adept,40–80 h,None stated,"Teaches javascript.info Browser section through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",DOM/events/browser APIs,active/reachable; fetched September 2026
web.dev Learn,web.dev Learn,https://web.dev/learn/,Course/reference,free,No fee for learning materials.,English; translation-friendly,No,4. Web development,,Apprentice; Adept,80–160 h,None stated,"Explains web.dev Learn as a structured learning reference for HTML, CSS, JavaScript and practical web application development, with examples suitable for self-study.",Google-authored HTML/CSS/JS/performance/accessibility,active/reachable; fetched September 2026
Frontend Mentor,Frontend Mentor,https://www.frontendmentor.io/challenges,Project practice,freemium,freemium: many challenges free.,English,No,4. Web development,,Apprentice; Adept,50–200 h,None stated,"Provides guided exercises or challenges centered on Frontend Mentor, building practical competence in HTML, CSS, JavaScript and practical web application development.",Design-to-code portfolio briefs,active/reachable; fetched September 2026
CSSBattle,CSSBattle,https://cssbattle.dev/,Practice game,freemium,freemium: core battles free.,English; visual,No,4. Web development,,Apprentice; Adept,20–80 h,None stated,"Provides guided exercises or challenges centered on CSSBattle, building practical competence in HTML, CSS, JavaScript and practical web application development.",Immediate CSS practice,active/reachable; fetched September 2026
Flexbox Froggy,Flexbox Froggy,https://flexboxfroggy.com/,Interactive game,free,No fee for learning materials.,English; multiple languages,No,4. Web development,,Newbie; Apprentice,2–4 h,None stated,"Provides guided exercises or challenges centered on Flexbox Froggy, building practical competence in HTML, CSS, JavaScript and practical web application development.",Visual flexbox practice,active/reachable; fetched September 2026
Grid Garden,Grid Garden,https://cssgridgarden.com/,Interactive game,free,No fee for learning materials.,English; multiple languages,No,4. Web development,,Newbie; Apprentice,2–4 h,None stated,"Provides guided exercises or challenges centered on Grid Garden, building practical competence in HTML, CSS, JavaScript and practical web application development.",Visual CSS Grid practice,active/reachable; fetched September 2026
React official tutorial,React official tutorial,https://react.dev/learn,Documentation/tutorial,free,free/open source.,English; translations,No,4. Web development,,Apprentice; Adept,30–80 h,None stated,"Explains React official tutorial as a structured learning reference for HTML, CSS, JavaScript and practical web application development, with examples suitable for self-study.",Authoritative modern React docs,active/reachable; fetched September 2026
Node.js Learn,Node.js Learn,https://nodejs.org/en/learn,Documentation/tutorial,free,free/open source.,English,No,4. Web development,,Apprentice; Adept,30–80 h,None stated,"Explains Node.js Learn as a structured learning reference for HTML, CSS, JavaScript and practical web application development, with examples suitable for self-study.",Official backend JS learning,active/reachable; fetched September 2026
Django Girls Tutorial,Django Girls Tutorial,https://tutorial.djangogirls.org/en/,Tutorial,free,free/open source.,English; many translations,No,4. Web development,,Newbie; Apprentice,20–40 h,None stated,"Teaches Django Girls Tutorial through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.","Inclusive, tested Python web on-ramp",active/reachable; fetched September 2026
roadmap.sh Web Roadmaps,roadmap.sh Web Roadmaps,https://roadmap.sh/,Visual roadmap,freemium,free core; premium features optional.,English,No,4. Web development,,All tiers,ongoing,None stated,"Teaches roadmap.sh Web Roadmaps through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Community-maintained coverage maps; active 2026,active/reachable; fetched September 2026
Scrimba Frontend Career Path samples,Scrimba Frontend Career Path samples,https://scrimba.com/learn/frontend,Interactive course,freemium,freemium: selected modules free; full path paid.,English,No,4. Web development,,Newbie; Apprentice,20–80 h free subset,None stated,"Teaches Scrimba Frontend Career Path samples through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Interactive screencasts; paywall explicit,active/reachable; fetched September 2026
Kevin Powell,Kevin Powell,https://www.youtube.com/@KevinPowell,Video channel,free,No fee for learning materials.,English; captions,No,4. Web development,,Newbie; Adept,30–150 h,None stated,"Organizes lessons and learning resources for HTML, CSS, JavaScript and practical web application development; use the linked course or playlist sequence rather than treating the hub as one lesson.",Widely followed CSS specialist,active/reachable; fetched September 2026
Traversy Media,Traversy Media,https://www.youtube.com/@TraversyMedia,Video channel,free,No fee for learning materials.,English; captions,No,4. Web development,,Newbie; Adept,50–200 h,None stated,"Organizes lessons and learning resources for HTML, CSS, JavaScript and practical web application development; use the linked course or playlist sequence rather than treating the hub as one lesson.",Large practical web-development library,active/reachable; fetched September 2026
The Net Ninja,The Net Ninja,https://www.youtube.com/@NetNinja,Video channel,free,free; paid courses also exist.,English; captions,No,4. Web development,,Newbie; Adept,50–200 h,None stated,"Organizes lessons and learning resources for HTML, CSS, JavaScript and practical web application development; use the linked course or playlist sequence rather than treating the hub as one lesson.",Structured web framework playlists,active/reachable; fetched September 2026
Kaggle Learn Pandas,Kaggle Learn Pandas,https://www.kaggle.com/learn/pandas,Micro-course,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,4–8 h,None stated,"Teaches Kaggle Learn Pandas through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Hands-on browser notebooks,active/reachable; fetched September 2026
Kaggle Learn Intro to SQL,Kaggle Learn Intro to SQL,https://www.kaggle.com/learn/intro-to-sql,Micro-course,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,4–8 h,None stated,"Teaches Kaggle Learn Intro to SQL through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Browser practice on real datasets,active/reachable; fetched September 2026
